Datetime,Intervall [ms],A53_M5_3007 (Belegungen/Intervall),A53_M5_3007 (Verweilzeit/Intervall) [ms],A57_M2_1138 (Belegungen/Intervall),A57_M2_1138 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],D31 (Belegungen/Intervall),D31 (Verweilzeit/Intervall) [ms],D41 (Belegungen/Intervall),D41 (Verweilzeit/Intervall) [ms],D42 (Belegungen/Intervall),D42 (Verweilzeit/Intervall) [ms],D43 (Belegungen/Intervall),D43 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H53_M3_3006 (Belegungen/Intervall),H53_M3_3006 (Verweilzeit/Intervall) [ms],H53_M6_1140 (Belegungen/Intervall),H53_M6_1140 (Verweilzeit/Intervall) [ms],H57_M1_1137 (Belegungen/Intervall),H57_M1_1137 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-01 00:00:00,3600000,12.0,11980.0,0.0,0.0,5.0,51540.0,3.0,1800.0,2.0,26790.0,0.0,0.0,9.0,28900.0,35.0,27380.0,0.0,0.0,0.0,0.0,8.0,8000.0,0.0,0.0,8.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,0
2021-06-01 01:00:00,3600000,2.0,2000.0,0.0,0.0,2.0,3070.0,7.0,8950.0,0.0,0.0,0.0,0.0,4.0,1460.0,35.0,30080.0,0.0,0.0,0.0,0.0,4.0,3990.0,0.0,0.0,4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,1
2021-06-01 02:00:00,3600000,0.0,0.0,0.0,0.0,2.0,35550.0,3.0,1930.0,0.0,0.0,0.0,0.0,3.0,1460.0,22.0,21610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,2
2021-06-01 03:00:00,3600000,3.0,2990.0,0.0,0.0,1.0,24940.0,1.0,250.0,1.0,1280.0,0.0,0.0,3.0,660.0,18.0,12510.0,0.0,0.0,0.0,0.0,2.0,2000.0,0.0,0.0,2.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,3
2021-06-01 04:00:00,3600000,6.0,5990.0,0.0,0.0,4.0,51845.0,3.0,24535.0,3.0,28992.0,0.0,0.0,7.0,23540.0,28.0,25310.0,0.0,0.0,0.0,0.0,9.0,8990.0,0.0,0.0,9.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,4
2021-06-01 05:00:00,3600000,22.0,21940.0,0.0,0.0,10.0,116280.0,8.0,13420.0,2.0,1160.0,0.0,0.0,17.0,25050.0,97.0,95236.0,0.0,0.0,0.0,0.0,25.0,24980.0,0.0,0.0,25.0,24990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,5
2021-06-01 06:00:00,3600000,29.0,28980.0,0.0,0.0,31.0,577757.0,31.0,32560.0,7.0,47460.0,0.0,0.0,49.0,161155.0,263.0,204690.0,0.0,0.0,0.0,0.0,33.0,32950.0,1.0,1000.0,33.0,32970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,6
2021-06-01 07:00:00,3600000,35.0,34950.0,0.0,0.0,78.0,1219482.0,60.0,142880.0,16.0,65860.0,0.0,0.0,98.0,388659.0,408.0,640496.0,0.0,0.0,0.0,0.0,36.0,36560.0,3.0,3000.0,37.0,36690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,7
2021-06-01 08:00:00,3600000,30.0,29980.0,0.0,0.0,94.0,1734758.0,65.0,196310.0,18.0,47100.0,0.0,0.0,125.0,521124.0,509.0,725812.0,0.0,0.0,0.0,0.0,38.0,38024.0,2.0,2000.0,38.0,38230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,8
2021-06-01 09:00:00,3600000,32.0,32090.0,0.0,0.0,86.0,1448247.0,87.0,581191.0,24.0,135440.0,0.0,0.0,140.0,641490.0,516.0,654394.0,0.0,0.0,0.0,0.0,30.0,31280.0,1.0,1000.0,30.0,29950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,9
