Datetime,Intervall [ms],AF_BS_32 (Belegungen/Intervall),AF_BS_32 (Verweilzeit/Intervall) [ms],AF_BS_35 (Belegungen/Intervall),AF_BS_35 (Verweilzeit/Intervall) [ms],AF_BS_38 (Belegungen/Intervall),AF_BS_38 (Verweilzeit/Intervall) [ms],AF_BS_41 (Belegungen/Intervall),AF_BS_41 (Verweilzeit/Intervall) [ms],AF_T1_T2 (Belegungen/Intervall),AF_T1_T2 (Verweilzeit/Intervall) [ms],AF_T3_T4 (Belegungen/Intervall),AF_T3_T4 (Verweilzeit/Intervall) [ms],D31 (Belegungen/Intervall),D31 (Verweilzeit/Intervall) [ms],D32 (Belegungen/Intervall),D32 (Verweilzeit/Intervall) [ms],Reserve (Belegungen/Intervall),Reserve (Verweilzeit/Intervall) [ms],V12 (Belegungen/Intervall),V12 (Verweilzeit/Intervall) [ms],V21 (Belegungen/Intervall),V21 (Verweilzeit/Intervall) [ms],V22 (Belegungen/Intervall),V22 (Verweilzeit/Intervall) [ms],V23 (Belegungen/Intervall),V23 (Verweilzeit/Intervall) [ms],V24 (Belegungen/Intervall),V24 (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-01 00:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,3600000.0,5.0,24930.0,3.0,3600.0,0.0,0.0,23.0,189662.0,3.0,1900.0,61.0,91223.0,24.0,53470.0,4.0,5740.0,2021,6,1,0
2021-06-01 01:00:00,3600000,0.0,0.0,1.0,770.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,3600000.0,1.0,3960.0,3.0,6030.0,0.0,0.0,28.0,201290.0,2.0,1200.0,39.0,53820.0,21.0,20280.0,2.0,1530.0,2021,6,1,1
2021-06-01 02:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,3600000.0,2.0,23760.0,3.0,33250.0,0.0,0.0,5.0,38860.0,0.0,0.0,23.0,21670.0,16.0,15490.0,3.0,1920.0,2021,6,1,2
2021-06-01 03:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,3600000.0,1.0,12330.0,0.0,0.0,0.0,0.0,1.0,11990.0,0.0,0.0,26.0,25133.0,17.0,13543.0,0.0,0.0,2021,6,1,3
2021-06-01 04:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,3600000.0,0.0,0.0,2.0,4050.0,0.0,0.0,3.0,21180.0,0.0,0.0,47.0,52520.0,31.0,40270.0,9.0,9110.0,2021,6,1,4
2021-06-01 05:00:00,3600000,1.0,800.0,2.0,1640.0,0.0,0.0,5.0,3430.0,0.0,3600000.0,0.0,3600000.0,7.0,34707.0,8.0,16470.0,0.0,0.0,38.0,482670.0,9.0,11350.0,167.0,551526.0,163.0,435962.0,42.0,78500.0,2021,6,1,5
2021-06-01 06:00:00,3600000,0.0,0.0,2.0,2330.0,0.0,0.0,7.0,5200.0,0.0,3600000.0,0.0,3600000.0,21.0,207470.0,27.0,123470.0,0.0,0.0,59.0,1426402.0,42.0,44250.0,388.0,1190750.0,322.0,834490.0,162.0,270830.0,2021,6,1,6
2021-06-01 07:00:00,3600000,4.0,11330.0,5.0,5915.0,0.0,0.0,12.0,9800.0,0.0,3600000.0,0.0,3600000.0,42.0,337256.0,50.0,325818.0,0.0,0.0,105.0,2312508.0,43.0,88180.0,299.0,2943721.0,445.0,2072271.0,248.0,694180.0,2021,6,1,7
2021-06-01 08:00:00,3600000,13.0,15610.0,2.0,1570.0,0.0,0.0,13.0,10640.0,0.0,3600000.0,0.0,3600000.0,60.0,308814.0,66.0,388493.0,0.0,0.0,106.0,2610084.0,114.0,253974.0,360.0,2592509.0,457.0,1800238.0,282.0,765755.0,2021,6,1,8
2021-06-01 09:00:00,3600000,6.0,7300.0,8.0,8440.0,0.0,0.0,13.0,11375.0,0.0,3600000.0,0.0,3600000.0,60.0,587161.0,64.0,257905.0,0.0,0.0,95.0,2809035.0,107.0,341675.0,418.0,2279760.0,363.0,1737515.0,236.0,753881.0,2021,6,1,9
